

"Alarm Records -- Query Alarm Logs"
"Save Time: 10/30/2013 10:17:04"
"User Name:khoand"
"
Occur in latest = 1hours.
Special status = NORMAL.
Time mode = NE time.
Log type = Generation log.
"

" ","Acknowledgement Status","Acknowledgement Time(ST)","Acknowledgement User","Additional Information","Alarm ID","Alarm Source","Arrive Time(ST)","Auto Clear","Clearance Status","Clearance Time(NT)","Clearance Type","Clearance User","Common Alarm Identifier","Equipment Alarm Serial Number","Link Name","Link Type","List Serial Number","Location Information","Log Serial Number","Log Type","Maintenance Region","MO Object","Name","NE Type","Object Instance Type","Occurrence Time(NT)","Operation Impact Flag","Severity","Special Status","Threshold Name","Type"
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:18:27,yes,Cleared,10/30/2013 09:18:39,normal clear, < NE operator > ,NA,672561,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285754,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:18:24,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:19:22,yes,Cleared,10/30/2013 09:26:20,normal clear, < NE operator > ,NA,672562,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285755,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:19:20,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:20:00,yes,Cleared,10/30/2013 09:20:03,normal clear, < NE operator > ,NA,672563,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285756,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:19:57,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:21:00,yes,Cleared,10/30/2013 09:21:03,normal clear, < NE operator > ,NA,672564,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285757,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:20:57,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:22:57,yes,Cleared,10/30/2013 09:23:00,normal clear, < NE operator > ,NA,672565,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285758,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:22:54,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:23:15,yes,Cleared,10/30/2013 09:23:18,normal clear, < NE operator > ,NA,672566,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285759,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:23:12,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:24:21,yes,Cleared,10/30/2013 09:24:27,normal clear, < NE operator > ,NA,672567,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285760,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:24:18,-,Major,NORMAL,-,Environment system
-,-,-,-,-,20801,BLAMH1H/LATN17,10/30/2013 09:25:47,yes,Cleared,10/30/2013 09:31:12,normal clear, < NE operator > ,NA,169738,-,-,64913,"Site No.=78, Flash Alarm Parameter=(Alarm ID=5292,Site No.=78,Board Type=DDPU,Board No.=5,PassNo=255,SubLink No.=255,CellNo=65535,Site Type=BTS3012,RackNo=255,BoxNo=255,SlotNo=255,Site Name=LATN17), Flash Alarm Accumulative Times=11, Flash Alarm Accumulative Duration=154",1285761,Generation log,-,LATN17,BTS Statistical Alarm,GBTS,-,10/30/2013 09:25:46,-,Minor,NORMAL,-,Running system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:25:48,yes,Cleared,10/30/2013 09:25:51,normal clear, < NE operator > ,NA,672568,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285762,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:25:45,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:26:00,yes,Cleared,10/30/2013 09:26:03,normal clear, < NE operator > ,NA,672569,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285763,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:25:57,-,Major,NORMAL,-,Environment system
